,Title,Summary,DOI,Categories,Publish Time,Authors,Journal
0,Distributed quantum election scheme,"In an electronic voting protocol, a distributed scheme can be used for
forbidding the malicious acts of the voting administrator and the counter
during the election, but it cannot prevent them from collaborating to trace the
ballots and destroy their privacy after the election. We present a distributed
anonymous quantum key distribution scheme and further construct a distributed
quantum election scheme with a voting administrator made up of more than one
part. This quantum election scheme can resist the malicious acts of the voting
administrator and the counter after the election and can work in a system with
lossy and noisy quantum channels.",1304.0555v3,quant-ph,2013-04-02 08:07:58+00:00,"[arxiv.Result.Author('Rui-Rui Zhou'), arxiv.Result.Author('Li Yang')]",
1,Ballot-Polling Audits of Instant-Runoff Voting Elections with a Dirichlet-Tree Model,"Instant-runoff voting (IRV) is used in several countries around the world. It
requires voters to rank candidates in order of preference, and uses a counting
algorithm that is more complex than systems such as first-past-the-post or
scoring rules. An even more complex system, the single transferable vote (STV),
is used when multiple candidates need to be elected. The complexity of these
systems has made it difficult to audit the election outcomes. There is
currently no known risk-limiting audit (RLA) method for STV, other than a full
manual count of the ballots.
  A new approach to auditing these systems was recently proposed, based on a
Dirichlet-tree model. We present a detailed analysis of this approach for
ballot-polling Bayesian audits of IRV elections. We compared several choices
for the prior distribution, including some approaches using a Bayesian
bootstrap (equivalent to an improper prior). Our findings include that the
bootstrap-based approaches can be adapted to perform similarly to a full
Bayesian model in practice, and that an overly informative prior can give
counter-intuitive results. Via carefully chosen examples, we show why creating
an RLA with this model is challenging, but we also suggest ways to overcome
this.
  As well as providing a practical and computationally feasible implementation
of a Bayesian IRV audit, our work is important in laying the foundation for an
RLA for STV elections.",2209.03881v1,stat.AP,2022-09-08 15:35:50+00:00,"[arxiv.Result.Author('Floyd Everest'), arxiv.Result.Author('Michelle Blom'), arxiv.Result.Author('Philip B. Stark'), arxiv.Result.Author('Peter J. Stuckey'), arxiv.Result.Author('Vanessa Teague'), arxiv.Result.Author('Damjan Vukcevic')]",
2,Limiting Risk by Turning Manifest Phantoms into Evil Zombies,"Drawing a random sample of ballots to conduct a risk-limiting audit generally
requires knowing how the ballots cast in an election are organized into groups,
for instance, how many containers of ballots there are in all and how many
ballots are in each container. A list of the ballot group identifiers along
with number of ballots in each group is called a ballot manifest. What if the
ballot manifest is not accurate? Surprisingly, even if ballots are known to be
missing from the manifest, it is not necessary to make worst-case assumptions
about those ballots--for instance, to adjust the margin by the number of
missing ballots--to ensure that the audit remains conservative. Rather, it
suffices to make worst-case assumptions about the individual randomly selected
ballots that the audit cannot find. This observation provides a simple
modification to some risk-limiting audit procedures that makes them
automatically become more conservative if the ballot manifest has errors. The
modification--phantoms to evil zombies (~2EZ)--requires only an upper bound on
the total number of ballots cast. ~2EZ makes the audit P-value stochastically
larger than it would be had the manifest been accurate, automatically requiring
more than enough ballots to be audited to offset the manifest errors. This
ensures that the true risk limit remains smaller than the nominal risk limit.
On the other hand, if the manifest is in fact accurate and the upper bound on
the total number of ballots equals the total according to the manifest, ~2EZ
has no effect at all on the number of ballots audited nor on the true risk
limit.",1207.3413v1,stat.AP,2012-07-14 11:26:02+00:00,"[arxiv.Result.Author('Jorge H. Banuelos'), arxiv.Result.Author('Philip B. Stark')]",
3,A Complete Enumeration of Ballot Permutations Avoiding Sets of Small Patterns,"Permutations whose prefixes contain at least as many ascents as descents are
called ballot permutations. Lin, Wang, and Zhao have previously enumerated
ballot permutations avoiding small patterns and have proposed the problem of
enumerating ballot permutations avoiding a pair of permutations of length $3$.
We completely enumerate ballot permutations avoiding two patterns of length $3$
and we relate these avoidance classes with their respective recurrence
relations and formulas, which leads to an interesting bijection between ballot
permutations avoiding $132$ and $312$ with left factors of Dyck paths. In
addition, we also conclude the Wilf-classification of ballot permutations
avoiding sets of two patterns of length $3$, and we then extend our results to
completely enumerate ballot permutations avoiding three patterns of length $3$.",2209.06087v1,math.CO,2022-09-13 15:37:45+00:00,[arxiv.Result.Author('Nathan Sun')],
4,Can Voters Detect Errors on Their Printed Ballots? Absolutely,"There is still debate on whether voters can detect malicious changes in their
printed ballot after making their selections on a Ballot Marking Device (BMD).
In this study, we altered votes on a voter's ballot after they had made their
selections on a BMD. We then required them to examine their ballots for any
changes from the slate they used to vote. Overall accuracy was exceptionally
high. Participants saw 1440 total contests, and of those 1440, there were a
total of 4 errors, so total accuracy was 99.8%. Participants were able to
perform with near-perfect accuracy regardless of ballot length, ballot type,
number of altered races, and location of altered races. Detection performance
was extremely robust. We conclude that with proper direction and resources,
voters can be near-perfect detectors of ballot changes on printed paper ballots
after voting with a BMD. This finding has significant implications for the
voting community as BMD use continues to grow. Research should now focus on
identifying administrative and behavioral methods that will prompt and
encourage voters to check their BMD-generated ballots before they drop them in
the ballot box.",2204.09780v1,cs.HC,2022-04-20 20:40:32+00:00,"[arxiv.Result.Author('Philip Kortum'), arxiv.Result.Author('Michael D. Byrne'), arxiv.Result.Author('Chidera O. Azubike'), arxiv.Result.Author('Laura E. Roty')]",
5,Risk-Limiting Tallies,"Many voter-verifiable, coercion-resistant schemes have been proposed, but
even the most carefully designed systems necessarily leak information via the
announced result. In corner cases, this may be problematic. For example, if all
the votes go to one candidate then all vote privacy evaporates. The mere
possibility of candidates getting no or few votes could have implications for
security in practice: if a coercer demands that a voter cast a vote for such an
unpopular candidate, then the voter may feel obliged to obey, even if she is
confident that the voting system satisfies the standard coercion resistance
definitions. With complex ballots, there may also be a danger of ""Italian""
style (aka ""signature"") attacks: the coercer demands the voter cast a ballot
with a specific, identifying pattern. Here we propose an approach to tallying
end-to-end verifiable schemes that avoids revealing all the votes but still
achieves whatever confidence level in the announced result is desired. Now a
coerced voter can claim that the required vote must be amongst those that
remained shrouded. Our approach is based on the well-established notion of
Risk-Limiting Audits, but here applied to the tally rather than to the audit.
We show that this approach counters coercion threats arising in extreme tallies
and ""Italian"" attacks. We illustrate our approach by applying it to the Selene
scheme, and we extend the approach to Risk-Limiting Verification, where not all
vote trackers are revealed, thereby enhancing the coercion mitigation
properties of Selene.",1908.04947v1,cs.CR,2019-08-14 04:23:10+00:00,"[arxiv.Result.Author('Wojciech Jamroga'), arxiv.Result.Author('Peter B. Roenne'), arxiv.Result.Author('Peter Y. A. Ryan'), arxiv.Result.Author('Philip B. Stark')]",
6,Ballot tilings and increasing trees,"We study enumerations of Dyck and ballot tilings, which are tilings of a
region determined by two Dyck or ballot paths. We give bijective proofs to two
formulae of enumerations of Dyck tilings through Hermite histories. We show
that one of the formulae is equal to a certain Kazhdan--Lusztig polynomial. For
a ballot tiling, we establish formulae which are analogues of formulae for Dyck
tilings. Especially, the generating functions have factorized expressions. The
key tool is a planted plane tree and its increasing labellings. We also
introduce a generalized perfect matching which is bijective to an Hermite
history for a ballot tiling. By combining these objects, we obtain various
expressions of a generating function of ballot tilings with a fixed lower path.",1705.06434v1,math-ph,2017-05-18 06:46:09+00:00,[arxiv.Result.Author('Keiichi Shigechi')],
7,Sophisticated Attacks on Decoy Ballots: The Devil's Menu and the Market for Lemons,"Decoy ballots do not count in election outcomes, but otherwise they are
indistinguishable from real ballots. By means of a game-theoretical model, we
show that decoy ballots may not provide effective protection against a
malevolent adversary trying to buy real ballots. If the citizenry is divided
into subgroups (or districts), the adversary can construct a so-called ""Devil's
Menu"" consisting of several prices. In equilibrium, the adversary can buy the
real ballots of any strict subset of districts at a price corresponding to the
willingness to sell on the part of the citizens holding such ballots. By
contrast, decoy voters are trapped into selling their ballots at a low, or even
negligible, price. Blowing up the adversary's budget by introducing decoy
ballots may thus turn out to be futile. The Devil's Menu can also be applied to
the well-known ""Lemons Problem"".",1712.05477v1,cs.GT,2017-12-14 23:54:58+00:00,"[arxiv.Result.Author('Hans Gersbach'), arxiv.Result.Author('Akaki Mamageishvili'), arxiv.Result.Author('Oriol Tejada')]",
8,The ATHENA Class of Risk-Limiting Ballot Polling Audits,"The main risk-limiting ballot polling audit in use today, BRAVO, is designed
for use when single ballots are drawn at random and a decision regarding
whether to stop the audit or draw another ballot is taken after each ballot
draw (ballot-by-ballot (B2) audits). On the other hand, real ballot polling
audits draw many ballots in a single round before determining whether to stop
(round-by-round (R2) audits). We show that BRAVO results in significant
inefficiency when directly applied to real R2 audits. We present the ATHENA
class of R2 stopping rules, which we show are risk-limiting if the round
schedule is pre-determined (before the audit begins). We prove that each rule
is at least as efficient as the corresponding BRAVO stopping rule applied at
the end of the round. We have open-source software libraries implementing most
of our results.
  We show that ATHENA halves the number of ballots required, for all state
margins in the 2016 US Presidential election and a first round with $90\%$
stopping probability, when compared to BRAVO (stopping rule applied at the end
of the round). We present simulation results supporting the 90% stopping
probability claims and our claims for the risk accrued in the first round.
Further, ATHENA reduces the number of ballots by more than a quarter for low
margins, when compared to the BRAVO stopping rule applied on ballots in
selection order. This implies that keeping track of the order when drawing
ballots R2 is not beneficial, because ATHENA is more efficient even without
information on selection order. These results are significant because current
approaches to real ballot polling election audits use the B2 BRAVO rules,
requiring about twice as much work on the part of election officials. Applying
the rules in selection order requires fewer ballots, but keeping track of the
order, and entering it into audit software, adds to the effort.",2008.02315v5,cs.CR,2020-08-05 18:47:37+00:00,"[arxiv.Result.Author('Filip Zagórski'), arxiv.Result.Author('Grant McClearn'), arxiv.Result.Author('Sarah Morin'), arxiv.Result.Author('Neal McBurnett'), arxiv.Result.Author('Poorvi L. Vora')]",
9,$k$-Cut: A Simple Approximately-Uniform Method for Sampling Ballots in Post-Election Audits,"We present an approximate sampling framework and discuss how risk-limiting
audits can compensate for these approximations, while maintaining their
""risk-limiting"" properties. Our framework is general and can compensate for
counting mistakes made during audits.
  Moreover, we present and analyze a simple approximate sampling
method,""$k$-cut"", for picking a ballot randomly from a stack, without counting.
Our method involves doing $k$ ""cuts"", each involving moving a random portion of
ballots from the top to the bottom of the stack, and then picking the ballot on
top. Unlike conventional methods of picking a ballot at random, $k$-cut does
not require identification numbers on the ballots or counting many ballots per
draw. We analyze how close the distribution of chosen ballots is to the uniform
distribution, and design different mitigation procedures. We show that $k=6$
cuts is enough for an risk-limiting election audit, based on empirical data,
which would provide a significant increase in efficiency.",1811.08811v3,cs.DS,2018-11-21 16:26:33+00:00,"[arxiv.Result.Author('Mayuri Sridhar'), arxiv.Result.Author('Ronald L. Rivest')]",
