,Title,Summary,DOI,Categories,Publish Time,Authors,Journal
0,Physical Cryptographic Signatures for Absentee Ballots,"Physical signature verification on absentee ballots became a major flashpoint
in the 2018 midterm elections in the United States, especially in states like
Georgia, Florida, and Arizona, where close election margins resulted in
heightened attention to the counting of absentee ballots. As vote-by-mail
solutions are becoming more prevalent across the U.S., these issues are sure to
continue affecting elections in the United States. Signature verification is an
inexact science; often times guidelines can vary widely from jurisdiction to
jurisdiction. In this paper we provide a cryptographic remedy to this solution
that is usable, secure, and easily integrated into existing election
infrastructure.",1812.09423v1,cs.CR,2018-12-22 00:43:31+00:00,[arxiv.Result.Author('Matthew Bernhard')],
1,Identifying Possible Winners in Ranked Choice Voting Elections with Outstanding Ballots,"Several election districts in the US have recently moved to ranked-choice
voting (RCV) to decide the results of local elections. RCV allows voters to
rank their choices, and the results are computed in rounds, eliminating one
candidate at a time. RCV ensures fairer elections and has been shown to
increase elected representation of women and people of color. A main drawback
of RCV is that the round-by-round process requires all the ballots to be
tallied before the results of an election can be calculated. With increasingly
large portions of ballots coming from absentee voters, RCV election outcomes
are not always apparent on election night, and can take several weeks to be
published, leading to a loss of trust in the electoral process from the public.
In this paper, we present an algorithm for efficiently computing possible
winners of RCV elections from partially known ballots and evaluate it on data
from the recent New York City Primary elections. We show that our techniques
allow to significantly narrow down the field of possible election winners, and
in some case identify the winner as soon as election night despite a number of
yet-unaccounted absentee ballots, providing more transparency in the electoral
process.",2206.12741v1,cs.CY,2022-06-25 22:08:15+00:00,"[arxiv.Result.Author('Alborz Jelvani'), arxiv.Result.Author('Amélie Marian')]",
2,Blocks as geographic discontinuities: The effect of polling place assignment on voting,"A potential voter must incur a number of costs in order to successfully cast
an in-person ballot, including the costs associated with identifying and
traveling to a polling place. In order to investigate how these costs affect
voting behavior, we introduce two quasi-experimental designs that can be used
to study how the political participation of registered voters is affected by
differences in the relative distance that registrants must travel to their
assigned Election Day polling place and whether their polling place remains at
the same location as in a previous election. Our designs make comparisons of
registrants who live on the same residential block, but are assigned to vote at
different polling places. We find that living farther from a polling place and
being assigned to a new polling place reduce in-person Election Day voting, but
that registrants largely offset for this by casting more early in-person and
mail ballots.",2105.01728v1,stat.AP,2021-05-04 19:50:27+00:00,"[arxiv.Result.Author('Sabina Tomkins'), arxiv.Result.Author('Keniel Yao'), arxiv.Result.Author('Johann Gaebler'), arxiv.Result.Author('Tobias Konitzer'), arxiv.Result.Author('David Rothschild'), arxiv.Result.Author('Marc Meredith'), arxiv.Result.Author('Sharad Goel')]",
3,On Covering a Solid Sphere with Concentric Spheres in ${\mathbb Z}^3$,"We show that a digital sphere, constructed by the circular sweep of a digital
semicircle (generatrix) around its diameter, consists of some holes
(absentee-voxels), which appear on its spherical surface of revolution. This
incompleteness calls for a proper characterization of the absentee-voxels whose
restoration will yield a complete spherical surface without any holes. In this
paper, we present a characterization of such absentee-voxels using certain
techniques of digital geometry and show that their count varies quadratically
with the radius of the semicircular generatrix. Next, we design an algorithm to
fill these absentee-voxels so as to generate a spherical surface of revolution,
which is more realistic from the viewpoint of visual perception. We further
show that covering a solid sphere by a set of complete spheres also results in
an asymptotically larger count of absentees, which is cubic in the radius of
the sphere. The characterization and generation of complete solid spheres
without any holes can also be accomplished in a similar fashion. We furnish
test results to substantiate our theoretical findings.",1411.1395v1,cs.CG,2014-10-23 05:05:23+00:00,"[arxiv.Result.Author('Sahadev Bera'), arxiv.Result.Author('Partha Bhowmick'), arxiv.Result.Author('Bhargab B. Bhattacharya')]",
4,Limiting Risk by Turning Manifest Phantoms into Evil Zombies,"Drawing a random sample of ballots to conduct a risk-limiting audit generally
requires knowing how the ballots cast in an election are organized into groups,
for instance, how many containers of ballots there are in all and how many
ballots are in each container. A list of the ballot group identifiers along
with number of ballots in each group is called a ballot manifest. What if the
ballot manifest is not accurate? Surprisingly, even if ballots are known to be
missing from the manifest, it is not necessary to make worst-case assumptions
about those ballots--for instance, to adjust the margin by the number of
missing ballots--to ensure that the audit remains conservative. Rather, it
suffices to make worst-case assumptions about the individual randomly selected
ballots that the audit cannot find. This observation provides a simple
modification to some risk-limiting audit procedures that makes them
automatically become more conservative if the ballot manifest has errors. The
modification--phantoms to evil zombies (~2EZ)--requires only an upper bound on
the total number of ballots cast. ~2EZ makes the audit P-value stochastically
larger than it would be had the manifest been accurate, automatically requiring
more than enough ballots to be audited to offset the manifest errors. This
ensures that the true risk limit remains smaller than the nominal risk limit.
On the other hand, if the manifest is in fact accurate and the upper bound on
the total number of ballots equals the total according to the manifest, ~2EZ
has no effect at all on the number of ballots audited nor on the true risk
limit.",1207.3413v1,stat.AP,2012-07-14 11:26:02+00:00,"[arxiv.Result.Author('Jorge H. Banuelos'), arxiv.Result.Author('Philip B. Stark')]",
5,A Complete Enumeration of Ballot Permutations Avoiding Sets of Small Patterns,"Permutations whose prefixes contain at least as many ascents as descents are
called ballot permutations. Lin, Wang, and Zhao have previously enumerated
ballot permutations avoiding small patterns and have proposed the problem of
enumerating ballot permutations avoiding a pair of permutations of length $3$.
We completely enumerate ballot permutations avoiding two patterns of length $3$
and we relate these avoidance classes with their respective recurrence
relations and formulas, which leads to an interesting bijection between ballot
permutations avoiding $132$ and $312$ with left factors of Dyck paths. In
addition, we also conclude the Wilf-classification of ballot permutations
avoiding sets of two patterns of length $3$, and we then extend our results to
completely enumerate ballot permutations avoiding three patterns of length $3$.",2209.06087v1,math.CO,2022-09-13 15:37:45+00:00,[arxiv.Result.Author('Nathan Sun')],
6,Electt: running auditable and verifiable elections in untrusted environments,"We present a system for running auditable and verifiable elections in
untrusted environments. Votes are anonymous since the order of candidates on a
ballot sheet is random. Tellers see only the position of the candidate. Voters
can check their vote. An election is auditable using blockchain log.
Threshold-encryption, which is used to implement the quorum, prevents a
deadlock from occurring if a minority of candidates or observers tries to
sabotage the election. Candidates and observers can indicate that the election
was free and fair by exposing their keys, which are used by the system to
decrypt each vote. Ballot sheets are encrypted by onion-routing, which has a
layer with the key of the election instance, so it's impossible for a quorum to
decode the results before they have announced their decision by exposing their
keys. A register of voters ensures that only verified voters can vote without
compromising their identity. If there any doubts about the identity of a voter,
their vote can be excluded from the election, if a quorum agrees. This system
is designed to scale from one instance to a distributed system that runs over
an unlimited number of instances, which can be achieved using cloud instances
or smartphones belonging to voters or tellers.",2011.10902v2,cs.CR,2020-11-22 00:58:34+00:00,[arxiv.Result.Author('Kirill A. Korinsky')],
7,Can Voters Detect Errors on Their Printed Ballots? Absolutely,"There is still debate on whether voters can detect malicious changes in their
printed ballot after making their selections on a Ballot Marking Device (BMD).
In this study, we altered votes on a voter's ballot after they had made their
selections on a BMD. We then required them to examine their ballots for any
changes from the slate they used to vote. Overall accuracy was exceptionally
high. Participants saw 1440 total contests, and of those 1440, there were a
total of 4 errors, so total accuracy was 99.8%. Participants were able to
perform with near-perfect accuracy regardless of ballot length, ballot type,
number of altered races, and location of altered races. Detection performance
was extremely robust. We conclude that with proper direction and resources,
voters can be near-perfect detectors of ballot changes on printed paper ballots
after voting with a BMD. This finding has significant implications for the
voting community as BMD use continues to grow. Research should now focus on
identifying administrative and behavioral methods that will prompt and
encourage voters to check their BMD-generated ballots before they drop them in
the ballot box.",2204.09780v1,cs.HC,2022-04-20 20:40:32+00:00,"[arxiv.Result.Author('Philip Kortum'), arxiv.Result.Author('Michael D. Byrne'), arxiv.Result.Author('Chidera O. Azubike'), arxiv.Result.Author('Laura E. Roty')]",
8,Nurse Staffing under Absenteeism: A Distributionally Robust Optimization Approach,"We study the nurse staffing problem under random nurse demand and
absenteeism. While the demand uncertainty is exogenous (stemming from the
random patient census), the absenteeism uncertainty is \emph{endogenous}, i.e.,
the number of nurses who show up for work partially depends on the nurse
staffing level. For quality of care, many hospitals have developed float pools,
i.e., groups of hospital units, and trained nurses to be able to work in
multiple units (termed cross-training) in response to potential nurse shortage.
In this paper, we propose a distributionally robust nurse staffing (DRNS) model
that considers both exogenous and endogenous uncertainties. We derive a
separation algorithm to solve this model under a general structure of float
pools. In addition, we identify several pool structures that often arise in
practice and recast the corresponding DRNS model as a mixed-integer linear
program, which facilitates off-the-shelf commercial solvers. Furthermore, we
optimize the float pool design to reduce cross-training while achieving
specified target staffing costs. The numerical case studies, based on the data
of a collaborating hospital, suggest that the units with high absenteeism
probability should be pooled together.",1909.09875v2,math.OC,2019-09-21 19:15:54+00:00,"[arxiv.Result.Author('Minseok Ryu'), arxiv.Result.Author('Ruiwei Jiang')]",
9,On the Bee-Identification Error Exponent with Absentee Bees,"The ""bee-identification problem"" was formally defined by Tandon, Tan and
Varshney [IEEE Trans. Commun. (2019) [Online early access]], and the error
exponent was studied. This work extends the results for the ""absentee bees""
scenario, where a small fraction of the bees are absent in the beehive image
used for identification. For this setting, we present an exact characterization
of the bee-identification error exponent, and show that independent barcode
decoding is optimal, i.e., joint decoding of the bee barcodes does not result
in a better error exponent relative to independent decoding of each noisy
barcode. This is in contrast to the result without absentee bees, where joint
barcode decoding results in a significantly higher error exponent than
independent barcode decoding. We also define and characterize the ""capacity""
for the bee-identification problem with absentee bees, and prove the strong
converse for the same.",1910.10333v1,cs.IT,2019-10-23 03:57:35+00:00,"[arxiv.Result.Author('Anshoo Tandon'), arxiv.Result.Author('Vincent Y. F. Tan'), arxiv.Result.Author('Lav R. Varshney')]",
