,Title,Summary,DOI,Categories,Publish Time,Authors,Journal
0,The Correlation between Si III] 1892/ C III] 1909 and Fe II 4500/ H beta in low redshift QSOs,"HST archival FOS spectra of 40 QSOs with z <= 0.5 in the Bright Quasar Survey
have been analyzed. The spectra cover the region 1800-2000 A in the QSOs' rest
frames, including the Al III 1859, Si III] 1892, C III] 1909, and Fe III UV34
emission-lines. We measured the flux of these UV emission-lines, and analyzed
the correlations among UV and optical (H beta, Fe II, and [O III])
emission-line properties as well as soft X-ray photon indices. We found a
significant correlation between Si III]/C III] and Fe II/H beta.
  Si III and C III have similar ionization potentials, but Si III] has one
order magnitude larger critical density than C III]. Si III]/C III] is thus a
density indicator and becomes larger when density is higher. The correlation
between Si III]/C III] and Fe II/H beta indicates that optical Fe II becomes
strong when the density of the broad line region becomes high.
  Our correlation analysis shows that large Si III]/C III] associates with weak
[O III] 5007, large soft X-ray photon index, and narrow H beta width as well as
with large Fe II/H beta. Our results support the previous suggestions that the
density of the broad line region gas and the mass accretion rate govern this
correlation.",astro-ph/9812364v1,astro-ph,1998-12-19 10:52:22+00:00,"[arxiv.Result.Author('K. Aoki'), arxiv.Result.Author('M. Yoshida')]",
1,First observation of the solar Type III burst decay and its interpretation,"A decay of Type III burst into two Type III bursts was registered during
solar observations by GURT and URAN-2 radio telescopes on April 18, 2017. Such
phenomenon was observed for the first time. Newborn Type III bursts have drift
rates smaller than that of decaying Type III burst. Such decays of Type III
bursts were predicted by a gas-dynamic theory of high-energy electron beams
propagating through the thermal background plasma. In the frame of this theory
Type III sources are beam-plasma structures moving with constant velocities. In
our case the sum of velocities of newborn Type III sources equals the velocity
of decaying Type III source. The last one is 0.33c in the case of fundamental
radio emission and 0.2c at the harmonic radio emission of Type III burst. The
density ratio of slow and fast newborn Type III sources is about 3.",1909.13073v1,astro-ph.SR,2019-09-28 11:31:41+00:00,"[arxiv.Result.Author('Valentin N. Melnik'), arxiv.Result.Author('Alexandr A. Konovalenko'), arxiv.Result.Author('Sergey M. Yerin'), arxiv.Result.Author('Igor M. Bubnov'), arxiv.Result.Author('Anatoliy I. Brazhenko'), arxiv.Result.Author('Anatoliy V. Frantsuzenko'), arxiv.Result.Author('Vladimir V. Dorovskyy'), arxiv.Result.Author('Mykola V. Shevchuk'), arxiv.Result.Author('Helmut O. Rucker')]",
2,Following the Cosmic Evolution of Pristine Gas III: The Observational Consequences of the Unknown Properties of Population III Stars,"We study the observational consequences of several unknown properties of
Population III (Pop III) stars using large-scale cosmological simulations that
include a subgrid model to track the unresolved mixing of pollutants. Varying
the value of the critical metallicity that marks the boundary between Pop III
and Population II (Pop II) star formation across 2 dex has a negligible effect
on the fraction of Pop III stars formed and the subsequent fraction of Pop III
flux from high-redshift galaxies. However, adopting a log normal initial mass
function (IMF) for Pop III stars, in place of a baseline Salpeter IMF, results
in a Pop III star formation rate density (SFRD) that is 1/4 of the baseline
rate. The flux from high-redshift galaxies modeled with this IMF is highly
bimodal, resulting in a tiny fraction of $z \leq 8$ galaxies with more than
75\% of their flux coming from Pop III stars. However, at $z=9$, right before
reionization in our simulations, $\approx$ 20\% of galaxies are Pop III-bright
with $m_{\rm UV} \le 31.4$ mag and at least 75\% of their flux generated by Pop
III stars . Additionally, the log normal Pop III IMF results in a population of
carbon enhanced, metal poor stars in reasonable agreement with MW halo
observations. Our analysis supports the conclusion that the Pop III IMF was
dominated by stars in the 20-120$M_{\odot}$ range that generate SN with
carbon-enhanced ejecta.",1901.03727v1,astro-ph.GA,2019-01-11 19:44:32+00:00,"[arxiv.Result.Author('Richard Sarmento'), arxiv.Result.Author('Evan Scannapieco'), arxiv.Result.Author('Benoit Côté')]",
3,Baseline Metal Enrichment from Population III Star Formation in Cosmological Volume Simulations,"We utilize the hydrodynamic and N-body code {\small GIZMO} coupled with our
newly developed sub-grid Population~III (Pop~III) Legacy model, designed
specifically for cosmological volume simulations, to study the baseline metal
enrichment from Pop~III star formation at $z>7$. In this idealized numerical
experiment, we only consider Pop~III star formation. We find that our model
Pop~III star formation rate density (SFRD), which peaks at $\sim 10^{-3}\ {\rm
M_\odot yr^{-1} Mpc^{-1}}$ near $z\sim10$, agrees well with previous numerical
studies and is consistent with the observed estimates for Pop~II SFRDs. The
mean Pop~III metallicity rises smoothly from $z=25-7$, but does not reach the
critical metallicity value, $Z_{\rm crit}=10^{-4}\ Z_\odot$, required for the
Pop~III to Pop~II transition in star formation mode until $z\simeq7$. This
suggests that, while individual halos can suppress in-situ Pop~III star
formation, the external enrichment is insufficient to globally terminate
Pop~III star formation. The maximum enrichment from Pop~III star formation in
star forming dark matter halos is $Z\sim10^{-2}\ Z_\odot$, whereas the minimum
found in externally enriched haloes is $Z\gtrsim10^{-7}\ Z_\odot$. Finally,
mock observations of our simulated IGM enriched with Pop~III metals produce
equivalent widths similar to observations of an extremely metal poor damped
Lyman alpha (DLA) system at $z=7.04$, which is thought to be enriched by
Pop~III star formation only.",1705.08059v2,astro-ph.GA,2017-05-23 02:46:15+00:00,"[arxiv.Result.Author('Jason Jaacks'), arxiv.Result.Author('Robert Thompson'), arxiv.Result.Author('Steven L. Finkelstein'), arxiv.Result.Author('Volker Bromm')]",
4,Bianchi III and V Einstein metrics,"We present diagonal Einstein metrics for Bianchi III and V, both for
minkowskian and euclidean signatures and we show that the Einstein Bianchi III
metrics have an integrable geodesic flow.",0806.2930v1,gr-qc,2008-06-18 09:00:17+00:00,[arxiv.Result.Author('Galliano Valent')],
5,Population III Star Formation In Large Cosmological Simulations I. Halo Temporal and Physical Environment,"We present a semi-analytic, computationally inexpensive model to identify
halos capable of forming a Population III star in cosmological simulations
across a wide range of times and environments. This allows for a much more
complete and representative set of Population III star forming halos to be
constructed, which will lead to Population III star formation simulations that
more accurately reflect the diversity of Population III stars, both in time and
halo mass. This model shows that Population III and chemically enriched stars
coexist beyond the formation of the first generation of stars in a cosmological
simulation until at least z~10, and likely beyond, though Population III stars
form at rates that are 4-6 orders of magnitude lower than chemically enriched
stars by z=10. A catalog of more than 40,000 candidate Population III forming
halos were identified, with formation times temporally ranging from z=30 to
z=10, and ranging in mass from 2.3x10^5 M_sun to 1.2x10^10 M_sun. At early
times, the environment that Population III stars form in is very similar to
that of halos hosting chemically enriched star formation. At later times
Population III stars are found to form in low-density regions that are not yet
chemically polluted due to a lack of previous star formation in the area.
Population III star forming halos become increasingly spatially isolated from
one another at later times, and are generally closer to halos hosting
chemically enriched star formation than to another halo hosting Population III
star formation by z~10.",1306.4679v1,astro-ph.CO,2013-06-19 20:00:01+00:00,"[arxiv.Result.Author('Brian D. Crosby'), arxiv.Result.Author(""Brian W. O'Shea""), arxiv.Result.Author('Britton D. Smith'), arxiv.Result.Author('Matthew J. Turk'), arxiv.Result.Author('Oliver Hahn')]",
6,Photoionization Models for the Semi-Forbidden C III] 1909 Emission in Star-Forming Galaxies,"The increasing neutrality of the intergalactic medium at z>6 suppresses
Ly-alpha emission, and spectroscopic confirmation of galaxy redshifts requires
detecting alternative UV lines. The strong [C III] 1907 + C III] 1909 doublet
frequently observed in low-metallicity, actively star-forming galaxies is a
promising emission feature. We present CLOUDY photoionization model predictions
for C III] equivalent widths (EWs) and line ratios as a function of starburst
age, metallicity, and ionization parameter. Our models include a range of C/O
abundances, dust content, and gas density. We also examine the effects of
varying the nebular geometry and optical depth. Only the stellar models that
incorporate binary interaction effects reproduce the highest observed C III]
EWs. The spectral energy distributions from the binary stellar population
models also generate observable C III] over a longer timescale relative to
single-star models. We show that diagnostics using C III] and nebular He II
1640 can separate star-forming regions from shock-ionized gas. We also find
that density-bounded systems should exhibit weaker C III] EWs at a given
ionization parameter, and C III] EWs could therefore select candidate Lyman
continuum-leaking systems. In almost all models, C III] is the next strongest
line at < 2700 Angstroms after Ly-alpha, and C III] reaches detectable levels
for a wide range of conditions at low metallicity. C III] may therefore serve
as an important diagnostic for characterizing galaxies at z>6.",1610.03778v1,astro-ph.GA,2016-10-12 16:39:12+00:00,"[arxiv.Result.Author('Anne Jaskot'), arxiv.Result.Author('Swara Ravindranath')]",
7,Modelling Population III stars for semi-numerical simulations,"Theoretically modelling the 21-cm signals caused by Population III stars (Pop
III stars) is the key to extracting fruitful information on Pop III stars from
current and forthcoming 21-cm observations. In this work we develop a new
module of Pop III stars in which the escape fractions of ionizing photons and
Lyman-Werner (LW) photons, photo-heating by UV radiation, and LW feedback are
consistently incorporated. By implementing the module into a public 21-cm
semi-numerical simulation code, 21CMFAST, we demonstrate 21-cm signal
calculations and investigate the importance of Pop III star modelling. What we
find is that the contribution from Pop III stars to cosmic reionization
significantly depends on the treatment of the escape fraction. With our escape
fraction model, Pop III stars hardly contribute to reionization because less
massive halos, whose escape fraction are high, cannot host Pop III stars due to
LW feedback. On the other hand, Pop III stars well contribute to reionization
with the conventional constant escape fraction. We also find that UV
photo-heating has non-negligible impact on the 21-cm global signal and the
21-cm power spectrum if the ionization fraction of the Universe is higher than
roughly 1 percent. In this case, the strength of the 21-cm global signal
depends on the photo-heating efficiency and thus on the Pop III star mass. We
conclude that detailed modelling of Pop III stars is imperative to predict
21-cm observables accurately for future observations.",2011.13504v1,astro-ph.GA,2020-11-27 00:13:51+00:00,"[arxiv.Result.Author('Toshiyuki Tanaka'), arxiv.Result.Author('Kenji Hasegawa')]",
8,Canonical extension of endomorphisms of type III factors,"We extend the notion of the canonical extension of automorphisms of type III
factors to the case of endomorphisms with finite statistical dimensions.
Following the automorphism case, we introduce two notions for endomorphisms of
type III factors: modular endomorphisms and Connes-Takesaki modules. Several
applications to compact groups of automorphisms and subfactors of type III
factors are given from the viewpoint of ergodic theory.",math/0104228v1,math.OA,2001-04-24 21:12:18+00:00,[arxiv.Result.Author('Masaki Izumi')],
9,Coronal type III radio bursts and their X-ray flare and interplanetary type III counterparts,"Type III bursts and hard X-rays are both produced by flare energetic electron
beams. The link between both emissions has been investigated in many previous
studies, but no statistical studies have compared both coronal and
interplanetary type III bursts with X-ray flares. Using coronal radio events
above 100 MHz exclusively from type III bursts, we revisited long-standing
questions: Do all coronal type III bursts have X-ray counterparts. What
correlation, if any, occurs between radio and X-ray intensities. What X-ray and
radio signatures above 100 MHz occur in connection with interplanetary type III
bursts below 14 MHz. We analysed data from 2002 to 2011 starting with coronal
type III bursts above 100 MHz. We used RHESSI X-ray data greater than 6 keV to
make a list of 321 events that have associated type III bursts and X-ray
flares, encompassing at least 28 percent of the initial sample of type III
events. We examined the timings, intensities, associated GOES class, and any
interplanetary radio signature. For our 321 events, the X-ray emission at 6 keV
usually lasted longer than type III burst groups at frequencies greater than
100 MHz. A weak correlation was found between the type III radio flux at
frequencies below 327 MHz and the X-ray intensity at 25-50 keV, with an absence
of events at high X-ray intensity and low type III radio flux. Interplanetary
type III bursts less than 14 MHz were observed for 54 percent of the events,
increasing when events were observed with 25-50 keV X-rays. A stronger
interplanetary association was present when 25-50 keV count rates were above
250 counts per second or 170 MHz fluxes were greater than 1000 SFU, relating to
more energetic electrons above 25 keV and events where magnetic flux tubes
extend into the high corona. On average type III bursts increase in flux with
decreasing frequency, the rate varies from event to event.",1609.04743v1,astro-ph.SR,2016-09-15 17:19:24+00:00,"[arxiv.Result.Author('Hamish A. S. Reid'), arxiv.Result.Author('Nicole Vilmer')]","A&A 597, A77 (2017)"
