,Title,Summary,DOI,Categories,Publish Time,Authors,Journal
0,Explicit Auditing,"The Calculus of Audited Units (CAU) is a typed lambda calculus resulting from
a computational interpretation of Artemov's Justification Logic under the
Curry-Howard isomorphism; it extends the simply typed lambda calculus by
providing audited types, inhabited by expressions carrying a trail of their
past computation history. Unlike most other auditing techniques, CAU allows the
inspection of trails at runtime as a first-class operation, with applications
in security, debugging, and transparency of scientific computation.
  An efficient implementation of CAU is challenging: not only do the sizes of
trails grow rapidly, but they also need to be normalized after every beta
reduction. In this paper, we study how to reduce terms more efficiently in an
untyped variant of CAU by means of explicit substitutions and explicit auditing
operations, finally deriving a call-by-value abstract machine.",1808.00486v1,cs.LO,2018-08-01 18:03:02+00:00,"[arxiv.Result.Author('Wilmer Ricciotti'), arxiv.Result.Author('James Cheney')]",
1,Towards Privacy-assured and Lightweight On-chain Auditing of Decentralized Storage,"How to audit outsourced data in centralized storage like cloud is
well-studied, but it is largely under-explored for the rising decentralized
storage network (DSN) that bodes well for a billion-dollar market. To realize
DSN as a usable service in a truly decentralized manner, the blockchain comes
in handy -- to record and verify audit trails in forms of proof of storage, and
based on that, to handle fair payments with necessary dispute resolution.
  Leaving the audit trails on the blockchain offers transparency and fairness,
yet it 1) sacrifices privacy, as they may leak information about the data under
audit, and 2) overwhelms on-chain resources, as they may be practically large
in size and expensive to verify. Prior auditing designs in centralized settings
are not directly applicable here. A handful of proposals targeting DSN cannot
satisfactorily address these issues either.
  We present an auditing solution that addresses on-chain privacy and
efficiency, from a synergy of homomorphic linear authenticators with polynomial
commitments for succinct proofs, and the sigma protocol for provable privacy.
The solution results in, per audit, 288-byte proof written to the blockchain,
and constant verification cost. It can sustain long-term operation and easily
scale to thousands of users on Ethereum.",2005.05531v3,cs.CR,2020-05-12 03:14:09+00:00,"[arxiv.Result.Author('Yuefeng Du'), arxiv.Result.Author('Huayi Duan'), arxiv.Result.Author('Anxin Zhou'), arxiv.Result.Author('Cong Wang'), arxiv.Result.Author('Man Ho Au'), arxiv.Result.Author('Qian Wang')]",
2,Verifiable Elections with Commitment Consistent Encryption -- A Primer,"This note provides an introduction to the PPATS Commitment Consistent
Encryption (CCE) scheme proposed by Cuvelier, Pereira and Peters and its use in
the design of end-to-end verifiable elections with a perfectly private audit
trail. These elections can be verified using audit data that will never leak
any information about the vote, even if all the private keys of the elections
are compromised, or if the cryptographic assumptions are broken.",1412.7358v1,cs.CR,2014-12-23 13:35:21+00:00,[arxiv.Result.Author('Olivier Pereira')],
3,TellTable Spreadsheet Audit: from Technical Possibility to Operating Prototype,"At the 2003 EuSpRIG meeting, we presented a framework and software
infrastructure to generate and analyse an audit trail for a spreadsheet file.
This report describes the results of a pilot implementation of this software
(now called TellTable; see www.telltable.com), along with developments in the
server infrastructure and availability, extensions to other ""Office Suite""
files, integration of the audit tool into the server interface, and related
developments, licensing and reports. We continue to seek collaborators and
partners in what is primarily an open-source project with some shared-source
components.",0803.1751v1,cs.SE,2008-03-12 11:36:41+00:00,"[arxiv.Result.Author('John Nash'), arxiv.Result.Author('Andy Adler'), arxiv.Result.Author('Neil Smith')]","Proc. European Spreadsheet Risks Int. Grp. (EuSpRIG) 2004
  45-55ISBN 1 902724 94 1"
4,Reversibility and Composition of Rewriting in Hierarchies,"In this paper, we study how graph transformations based on sesqui-pushout
rewriting can be reversed and how the composition of rewrites can be
constructed. We illustrate how such reversibility and composition can be used
to design an audit trail system for individual graphs and graph hierarchies.
This provides us with a compact way to maintain the history of updates of an
object, including its multiple versions. The main application of the designed
framework is an audit trail of updates to knowledge represented by hierarchies
of graphs. Therefore, we introduce the notion of rule hierarchy that represents
a transformation of the entire hierarchy, study how rule hierarchies can be
applied to hierarchies and analyse the conditions under which this application
is reversible. We then present a theory for constructing the composition of
consecutive hierarchy rewrites. The prototype audit trail system for
transformations in hierarchies of simple graphs with attributes is implemented
as part of the ReGraph Python library.",2012.01661v1,cs.LO,2020-12-03 02:29:28+00:00,"[arxiv.Result.Author('Russ Harmer'), arxiv.Result.Author('Eugenia Oshurko')]","EPTCS 330, 2020, pp. 145-162"
5,A Distributed `Black Box' Audit Trail Design Specification for Connected and Automated Vehicle Data and Software Assurance,"Automotive software is increasingly complex and critical to safe vehicle
operation, and related embedded systems must remain up-to-date to ensure
long-term system performance. Update mechanisms and data modification tools
introduce opportunities for malicious actors to compromise these cyber-physical
systems, and for trusted actors to mistakenly install incompatible software
versions. A distributed and stratified ""black box"" audit trail for automotive
software and data provenance is proposed to assure users, service providers,
and original equipment manufacturers (OEMs) of vehicular software integrity and
reliability. The proposed black box architecture is both layered and diffuse,
employing distributed hash tables (DHT), a parity system and a public
blockchain to provide high resilience, assurance, scalability, and efficiency
for automotive and other high-assurance systems.",2002.02780v2,cs.CR,2020-02-07 13:38:30+00:00,"[arxiv.Result.Author('Gregory Falco'), arxiv.Result.Author('Joshua E. Siegel')]",
6,"STAR-Vote: A Secure, Transparent, Auditable, and Reliable Voting System","In her 2011 EVT/WOTE keynote, Travis County, Texas County Clerk Dana
DeBeauvoir described the qualities she wanted in her ideal election system to
replace their existing DREs. In response, in April of 2012, the authors,
working with DeBeauvoir and her staff, jointly architected STAR-Vote, a voting
system with a DRE-style human interface and a ""belt and suspenders"" approach to
verifiability. It provides both a paper trail and end-to-end cryptography using
COTS hardware. It is designed to support both ballot-level risk-limiting
audits, and auditing by individual voters and observers. The human interface
and process flow is based on modern usability research. This paper describes
the STAR-Vote architecture, which could well be the next-generation voting
system for Travis County and perhaps elsewhere.",1211.1904v1,cs.CR,2012-11-08 17:06:33+00:00,"[arxiv.Result.Author('Josh Benaloh'), arxiv.Result.Author('Mike Byrne'), arxiv.Result.Author('Philip Kortum'), arxiv.Result.Author('Neal McBurnett'), arxiv.Result.Author('Olivier Pereira'), arxiv.Result.Author('Philip B. Stark'), arxiv.Result.Author('Dan S. Wallach')]",
7,Auditing Indian Elections,"Indian Electronic Voting Machines (EVMs) will be fitted with printers that
produce Voter-Verifiable Paper Audit Trails (VVPATs) in time for the 2019
general election. VVPATs provide evidence that each vote was recorded as the
voter intended, without having to trust the perfection or security of the EVMs.
  However, confidence in election results requires more: VVPATs must be
preserved inviolate and then actually used to check the reported election
result in a trustworthy way that the public can verify. A full manual tally
from the VVPATs could be prohibitively expensive and time-consuming; moreover,
it is difficult for the public to determine whether a full hand count was
conducted accurately. We show how Risk-Limiting Audits (RLAs) could provide
high confidence in Indian election results. Compared to full hand recounts,
RLAs typically require manually inspecting far fewer VVPATs when the outcome is
correct, and are much easier for the electorate to observe in adequate detail
to determine whether the result is trustworthy.",1901.03108v2,cs.CR,2019-01-10 11:38:41+00:00,"[arxiv.Result.Author('Vishal Mohanty'), arxiv.Result.Author('Nicholas Akinyokun'), arxiv.Result.Author('Andrew Conway'), arxiv.Result.Author('Chris Culnane'), arxiv.Result.Author('Philip B. Stark'), arxiv.Result.Author('Vanessa Teague')]",
8,"Electryo, In-person Voting with Transparent Voter Verifiability and Eligibility Verifiability","Selene is an e-voting protocol that allows voters to directly check their
individual vote, in cleartext, in the final tally via a tracker system, while
providing good coercion mitigation. This is in contrast to conventional,
end-to-end verifiable schemes in which the voter verifies the presence of an
encryption of her vote on the bulletin board. The Selene mechanism can be
applied to many e-voting schemes, but here we present an application to the
polling station context, resulting in a voter-verifiable electronic tally with
a paper audit trail. The system uses a smartcard-based public key system to
provide the individual verification and universal eligibility verifiability.
The paper record contains an encrypted link to the voter's identity, requiring
stronger assumptions on ballot privacy than normal paper voting, but with the
benefit of providing good auditability and dispute resolution as well as
supporting (comparison) risk limiting audits.",2105.14783v1,cs.CR,2021-05-31 08:22:29+00:00,"[arxiv.Result.Author('Peter B. Roenne'), arxiv.Result.Author('Peter Y. A Ryan'), arxiv.Result.Author('Marie-Laure Zollinger')]",
9,Effcient logging and querying for Blockchain-based cross-site genomic dataset access audit,"Background: Genomic data have been collected by different institutions and
companies and need to be shared for broader use. In a cross-site genomic data
sharing system, a secure and transparent access control audit module plays an
essential role in ensuring the accountability. The 2018 iDASH competition first
track provides us with an opportunity to design efficient logging and querying
system for cross-site genomic dataset access audit. We designed a
blockchain-based log system which can provide a light-weight and widely
compatible module for existing blockchain platforms. The submitted solution won
the third place of the competition. In this paper, we report the technical
details in our system. Methods: We present two methods: baseline method and
enhanced method. We started with the baseline method and then adjusted our
implementation based on the competition evaluation criteria and characteristics
of the log system. To overcome obstacles of indexing on the immutable
Blockchain system, we designed a hierarchical timestamp structure which
supports efficient range queries on the timestamp field. Results: We
implemented our methods in Python3, tested the scalability, and compared the
performance using the test data supplied by competition organizer. We
successfully boosted the log retrieval speed for complex AND queries that
contain multiple predicates. For the range query, we boosted the speed for at
least one order of magnitude. The storage usage is reduced by 25%. Conclusion:
We demonstrate that Blockchain can be used to build a time and space efficient
log and query genomic dataset audit trail. Therefore, it provides a promising
solution for sharing genomic data with accountability requirement across
multiple sites.",1907.07303v2,cs.DB,2019-07-17 02:11:53+00:00,"[arxiv.Result.Author('Shuaicheng Ma'), arxiv.Result.Author('Yang Cao'), arxiv.Result.Author('Li Xiong')]",
