,Title,Summary,DOI,Categories,Publish Time,Authors,Journal
0,Phase transition and power-law coarsening in Ising-doped voter model,"We examine an opinion formation model, which is a mixture of Voter and Ising
agents. Numerical simulations show that even a very small fraction ($\sim 1\%$)
of the Ising agents drastically changes the behaviour of the Voter model. The
Voter agents act as a medium, which correlates sparsely dispersed Ising agents,
and the resulting ferromagnetic ordering persists up to a certain temperature.
Upon addition of the Ising agents, a logarithmically slow coarsening of the
Voter model ($d=2$), or its active steady state ($d=3$), change into an
Ising-type power-law coarsening.",1706.03575v2,cond-mat.stat-mech,2017-06-12 11:38:48+00:00,"[arxiv.Result.Author('Adam Lipowski'), arxiv.Result.Author('Dorota Lipowska'), arxiv.Result.Author('Antonio L. Ferreira')]","Phys. Rev. E 96, 032145 (2017)"
1,The Voting Farm: A Distributed Class for Software Voting,"This document describes a class of C functions implementing a distributed
software voting mechanism for EPX or similar message passing multi-threaded
environments. Such a tool may be used for example, to set up a restoring organ,
i.e., an NMR (i.e., N-module redundant) system with N voters. In order to
describe the tool we start defining its basic building block, the voter. A
voter is defined as a software module connected to one user module and to a
farm of fellow voters arranged into a clique. By means of the functions in the
class the user module is able: to create a static ""picture"" of the voting farm,
needed for the set up of the clique; to instantiate the local voter; to send
input or control messages to that voter. No interlocutor is needed other than
the local voter. The other user modules are supposed to create coherent
pictures and instances of voters on other nodes of the machine and to manage
consistently the task of their local intermediary. All technicalities
concerning the set up of the clique and the exchange of messages between the
voters are completely transparent to the user module. In the following the
basic functionalities of the VotingFarm class will be discussed, namely how to
set up a ""passive farm"", or a non-alive topological representation of a
yet-to-be-activated voting farm; how to initiate the voting farm; how to
control the farm.",1610.02288v1,cs.DC,2016-02-27 21:11:27+00:00,[arxiv.Result.Author('Vincenzo De Florio')],
2,Proxy Voting for Better Outcomes,"We consider a social choice problem where only a small number of people out
of a large population are sufficiently available or motivated to vote. A common
solution to increase participation is to allow voters use a proxy, that is,
transfer their voting rights to another voter. Considering social choice
problems on metric spaces, we compare voting with and without the use of
proxies to see which mechanism better approximates the optimal outcome, and
characterize the regimes in which proxy voting is beneficial. When voters'
opinions are located on an interval, both the median mechanism and the mean
mechanism are substantially improved by proxy voting. When voters vote on many
binary issues, proxy voting is better when the sample of active voters is too
small to provide a good outcome. Our theoretical results extend to situations
where available voters choose strategically whether to participate. We support
our theoretical findings with empirical results showing substantial benefits of
proxy voting on simulated and real preference data.",1611.08308v1,cs.GT,2016-11-24 21:05:50+00:00,"[arxiv.Result.Author('Gal Cohensius'), arxiv.Result.Author('Shie Manor'), arxiv.Result.Author('Reshef Meir'), arxiv.Result.Author('Eli Meirom'), arxiv.Result.Author('Ariel Orda')]",
3,Phase transition in a coevolving network of conformist and contrarian voters,"In the coevolving voter model, each voter has one of two diametrically
opposite opinions, and a voter encountering a neighbor with the opposite
opinion may either adopt it or rewire the connection to another randomly chosen
voter sharing the same opinion. As we smoothly change the relative frequency of
rewiring compared to that of adoption, there occurs a phase transition between
an active phase and a frozen phase. By performing extensive Monte Carlo
calculations, we show that the phase transition is characterized by critical
exponents {\beta}=0.54(1) and {\nu} =1.5(1), which differ from the existing
mean-field-type prediction. We furthermore extend the model by introducing a
contrarian type that tries to have neighbors with the opposite opinion, and
show that the critical behavior still belongs to the same universality class
irrespective of such contrarians' fraction.",1301.4251v1,physics.soc-ph,2013-01-15 23:24:23+00:00,"[arxiv.Result.Author('Su Do Yi'), arxiv.Result.Author('Seung Ki Baek'), arxiv.Result.Author('Chen-Ping Zhu'), arxiv.Result.Author('Beom Jun Kim')]","Phys. Rev. E 87, 012806 (2013)"
4,Spontaneous symmetry breaking of active phase in coevolving nonlinear voter model,"We study an adaptive network model driven by a nonlinear voter dynamics. Each
node in the network represents a voter and can be in one of two states that
correspond to different opinions shared by the voters. A voter disagreeing with
its neighbor's opinion may either adopt it or rewire its link to another
randomly chosen voter with any opinion. The system is studied by means of the
pair approximation in which a distinction between the average degrees of nodes
in different states is made. This approach allows us to identify two
dynamically active phases, a symmetric and an asymmetric one. The asymmetric
active phase, in contrast to the symmetric, is characterized by different
numbers of nodes in the opposite states that coexist in the network. The pair
approximation predicts the possibility of spontaneous symmetry breaking, which
leads to a continuous phase transition between the symmetric and the asymmetric
active phases. In this case, the absorbing transition occurs between the
asymmetric active and the absorbing phases after the spontaneous symmetry
breaking. Discontinuous phase transitions and hysteresis loops between both
active phases are also possible. Interestingly, the asymmetric active phase is
not displayed by the model where the rewiring occurs only to voters sharing the
same opinion, studied by other authors. Our results are backed up by Monte
Carlo simulations.",2004.08927v3,physics.soc-ph,2020-04-19 18:14:25+00:00,"[arxiv.Result.Author('Arkadiusz Jędrzejewski'), arxiv.Result.Author('Joanna Toruniewska'), arxiv.Result.Author('Krzysztof Suchecki'), arxiv.Result.Author('Oleg Zaikin'), arxiv.Result.Author('Janusz A. Hołyst')]","Phys. Rev. E 102, 042313 (2020)"
5,Fragmentation transitions in a coevolving nonlinear voter model,"We study a coevolving nonlinear voter model describing the coupled evolution
of the states of the nodes and the network topology. Nonlinearity of the
interaction is measured by a parameter q. The network topology changes by
rewiring links at a rate p. By analytical and numerical analysis we obtain a
phase diagram in p, q parameter space with three different phases: Dynamically
active coexistence phase in a single component network, absorbing consensus
phase in a single component network, and absorbing phase in a fragmented
network. For finite systems the active phase has a lifetime that grows
exponentially with system size, at variance with the similar phase for the
linear voter model that has a lifetime proportional to system size. We find
three transition lines that meet at the point of the fragmentation transition
of the linear voter model. A first transition line corresponds to a continuous
absorbing transition between the active and fragmented phases. The other two
transition lines are discontinuous transitions fundamentally different from the
transition of the linear voter model. One is a fragmentation transition between
the consensus and fragmented phases, and the other is an absorbing transition
in a single component network between the active and consensus phases.",1707.08111v2,physics.soc-ph,2017-07-24 20:41:42+00:00,"[arxiv.Result.Author('Byungjoon Min'), arxiv.Result.Author('Maxi San Miguel')]","Sci. Rep. 7, 12864 (2017)"
6,An adaptive voter model on simplicial complexes,"Collective decision making processes lie at the heart of many social,
political and economic challenges. The classical voter model is a
well-established conceptual model to study such processes. In this work, we
define a new form of adaptive (or co-evolutionary) voter model posed on a
simplicial complex, i.e., on a certain class of hypernetworks/hypergraphs. We
use the persuasion rule along edges of the classical voter model and the
recently studied re-wiring rule of edges towards like-minded nodes, and
introduce a new peer pressure rule applied to three nodes connected via a
2-simplex. This simplicial adaptive voter model is studied via numerical
simulation. We show that adding the effect of peer pressure to an adaptive
voter model leaves its fragmentation transition, i.e., the transition upon
varying the re-wiring rate from a single majority state into to a fragmented
state of two different opinion subgraphs, intact. Yet, above and below the
fragmentation transition, we observe that the peer pressure has substantial
quantitative effects. It accelerates the transition to a single-opinion state
below the transition and also speeds up the system dynamics towards
fragmentation above the transition. Furthermore, we quantify that there is a
multiscale hierarchy in the model leading to the depletion of 2-simplices,
before the depletion of active edges. This leads to the conjecture that many
other dynamic network models on simplicial complexes may show a similar
behaviour with respect to the sequential evolution of simplicies of different
dimensions.",1909.05812v1,nlin.AO,2019-09-12 17:13:22+00:00,"[arxiv.Result.Author('Leonhard Horstmeyer'), arxiv.Result.Author('Christian Kuehn')]","Phys. Rev. E 101, 022305 (2020)"
7,Sybil-Resilient Social Choice with Partial Participation,"Voting rules may fail to implement the will of the society when only some
voters actively participate, and/or in the presence of sybil (fake or
duplicate) voters. Here we aim to address social choice in the presence of
sybils and voter abstention.
  To do so we assume the status-quo (Reality) as an ever-present distinguished
alternative, and study Reality Enforcing voting rules, which add virtual votes
in support of the status-quo. We measure the tradeoff between safety and
liveness (the ability of active honest voters to maintain/change the
status-quo, respectively) in a variety of domains, and show that the Reality
Enforcing voting rule is optimal in this respect.",2001.05271v2,cs.MA,2020-01-15 12:31:32+00:00,"[arxiv.Result.Author('Reshef Meir'), arxiv.Result.Author('Gal Shahaf'), arxiv.Result.Author('Ehud Shapiro'), arxiv.Result.Author('Nimrod Talmon')]",
8,Critical phenomena in presence of symmetric absorbing states: a microscopic spin model with tunable parameters,"The Langevin description of systems with two symmetric absorbing states
yields a phase diagram with three different phases (disordered and active,
ordered and active, absorbing) separated by critical lines belonging to three
different universality classes (generalized voter, Ising, and directed
percolation). In this paper we present a microscopic spin model with two
symmetric absorbing states that has the property that the model parameters can
be varied in a continuous way. Our results, obtained through extensive
numerical simulations, indicate that all features of the Langevin description
are encountered for our two-dimensionsal microscopic spin model. Thus the Ising
and direction percolation lines merge into a generalized voter critical line at
a point in parameter space that is not identical to the classical voter model.
A vast range of different quantities are used to determine the universality
classes of the order-disorder and absorbing phase transitions. The
investigation of time-dependent quantities at a critical point belonging to the
generalized voter universality class reveals a more complicated picture than
previously discussed in the literature.",2007.10933v1,cond-mat.stat-mech,2020-07-21 16:51:01+00:00,"[arxiv.Result.Author('Ahmadreza Azizi'), arxiv.Result.Author('Michel Pleimling')]","Phys. Rev. E 102, 022112 (2020)"
9,Generalized Voter-like model on activity driven networks with attractiveness,"We study the behavior of a generalized consensus dynamics on a temporal
network of interactions, the activity driven network with attractiveness. In
this temporal network model, agents are endowed with an intrinsic activity $a$,
ruling the rate at which they generate connections, and an intrinsic
attractiveness $b$, modulating the rate at which they receive connections. The
consensus dynamics considered is a mixed voter/Moran dynamics. Each agent,
either in state $0$ or $1$, modifies his/her state when connecting with a peer.
Thus, an active agent copies his/her state from the peer (with probability $p$)
or imposes his/her state to him/her (with the complementary probability $1-p$).
Applying a heterogeneous mean-field approach, we derive a differential equation
for the average density of voters with activity $a$ and attractiveness $b$ in
state $1$, that we use to evaluate the average time to reach consensus and the
exit probability, defined as the probability that a single agent with activity
$a$ and attractiveness $b$ eventually imposes his/her state to a pool of
initially unanimous population in the opposite state. We study a number of
particular cases, finding an excellent agreement with numerical simulations of
the model. Interestingly, we observe a symmetry between voter and Moran
dynamics in pure activity driven networks and their static integrated
counterparts that exemplifies the strong differences that a time-varying
network can impose on dynamical processes.",1804.07476v1,physics.soc-ph,2018-04-20 07:25:41+00:00,"[arxiv.Result.Author('Antoine Moinet'), arxiv.Result.Author('Alain Barrat'), arxiv.Result.Author('Romualdo Pastor Satorras')]","Phys. Rev. E 98, 022303 (2018)"
